Company,Title,Location,Salary
"Salient CRGT, Inc",Data Scientist 4,"Aurora, CO 80011 (Norfolk Glen area)","$150,000 - $165,000 a year"
Amazon.com Services LLC,Applied Scientist II,"Denver, CO","$122,200 - $160,000 a year"
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Denver, CO+2 locations","$119,300 - $160,000 a year"
The Trade Desk,Senior Data Scientist,"Boulder, CO","$84,550 - $207,585 a year"
Honey,"Data Scientist, Product Catalog Data","Denver, CO 80202 (Lodo area)","$121,000 a year"
Nordstrom Inc,Senior Data Analyst - Digital Customer Experience - Discover...,"Denver, CO•Remote","Up to $155,700 a year"
Charles Schwab,"Sr. Manager, Data Scientist","Lone Tree, CO 80124","$122,700 - $200,300 a year"
CommonSpirit Health,Data Scientist II,"Englewood, CO 80112","$88,795 - $130,000 a year"
Denver Public Schools,"Senior Analyst, Operations Research and Data Science","Denver, CO 80203 (Capitol Hill area)","$65,129 - $78,863 a year"
Hunger Free Colorado,Senior Data Analyst and Evaluation Specialist,"Denver, CO 80222 (Cory - Merrill area)","$70,000 - $80,000 a year"
State of Colorado Job Opportunities,newStatistical Analyst I - 0849,"Denver, CO 80203 (North Capitol Hill area)","$54,000 - $79,056 a year"
Hotel Engine,newSenior Data Analyst,"Denver, CO","$70,000 - $100,000 a year"
"Amazon Web Services, Inc.",Senior Data Scientist - Nationwide Opportunities,"Denver, CO+1 location","$116,200 a year"
OnPoint,Senior Data Scientist,"Louisville, CO 80027","$100,000 - $160,000 a year"
Hotel Engine,Lead Data Scientist,"Denver, CO•Remote","$150,000 a year"
"Boulder County, CO",Senior Data Analyst,"Boulder, CO 80302 (Whittier area)•Temporarily Remote","$60,000 - $86,400 a year"
KBR,Data Scientist (SAS Programming) - Team Lead (SME 5),"Aurora, CO","$118,700 - $148,400 a year"
"Amazon Web Services, Inc.","Principal, Data Scientist ProServe","Denver, CO","$122,300 a year"
BombBomb,Senior Product Data Analyst,"Denver, CO","$85,000 - $110,000 a year"
Specialized Bicycle Components,"Senior Data Analyst (Remote, USA)","Boulder, CO•Remote","$78,000 - $105,000 a year"
Workday,"Manager, Machine Learning Engineering","Boulder, CO 80301+3 locations","$141,200 a year"
DISH,Data Scientist,"Englewood, CO 80112+5 locations","$103,850 a year"
Ibotta,Senior Decision Scientist,"Denver, CO 80202 (Central Business District area)•Remote","$90,000 - $120,000 a year"
U.S. Bank,"Senior Data Analyst - Denver, CO","Denver, CO","$105,400 - $124,000 a year"
SoundHound Inc.,"Machine Learning Scientist, Natural Language Processing","Boulder, CO","$101,500 - $136,500 a year"
Emerson,newSenior Data Science Engineer,"Boulder, CO (Table Mesa South area)","$91,100 - $167,100 a year"
Simio Cloud,newSenior Cloud Data Engineer (Open to Remote) - SimioCloud,"Westminster, CO 80021•Remote","$120,000 - $160,000 a year"
SonderMind,"Software Engineer, Data Science","Denver, CO","$95,000 - $125,000 a year"
Colorado Access,Senior Data Scientist (Biostatistician),"Aurora, CO 80014","$65,250 - $102,000 a year"
Citrine Informatics,Product Manager - Data & Visualization,"Denver, CO•Remote","$130,000 - $160,000 a year"
State of Colorado Job Opportunities,Violence and Injury Epidemiology Supervisor (#1619),"Denver, CO 80203 (North Capitol Hill area)","$71,316 - $108,108 a year"
InnovAge,Senior Clinical Data Analyst,"Denver, CO 80230 (Lowry Field area)","$57,000 - $72,000 a year"
"Amazon Web Services, Inc.",Sr. Data & ML Engineer,"Denver, CO+1 location","$122,300 - $160,000 a year"
Western Union,"Leader, Data and Pricing Science","Denver, CO","$98,081 - $163,468 a year"
E Source,newMachine Learning Engineer,"Denver, CO","$85,000 - $130,000 a year"
Builders FirstSource,Senior Sales Data Analyst,"Denver, CO 80237 (Hampden South area)","$80,566 - $98,784 a year"
"Amazon Web Services, Inc.",Sr. Data & ML Engineer,"Denver, CO","$122,300 - $160,000 a year"
Teladoc Health,Machine Learning Engineer,"Denver, CO","$120,000 - $165,000 a year"
DISH,Data Scientist - Data Exploitation,"Littleton, CO 80120","$99,360 a year"
Ball Aerospace,Engineer Senior - Machine Learning/ Deep Learning Optical,"Westminster, CO 80021","$129,500 - $163,500 a year"
OnPoint,Senior Data Engineer,"Louisville, CO 80027","$90,000 - $160,000 a year"
AMP Robotics,Lead Machine Learning Engineer,"Louisville, CO","$138,000 - $190,000 a year"
SoundHound Inc.,"Senior Software Engineer, Applied Machine Learning","Boulder, CO","$119,500 - $154,500 a year"
Clinica Family Health,Clinical Quality Manager,"Lafayette, CO 80026","$65,000 - $80,000 a year"
"The Stratagem Group, Inc",Senior AI/ML Engineer,"Aurora, CO 80011 (Norfolk Glen area)","$100,000 - $185,000 a year"
Ball Aerospace,Machine Learning / Deep Learning Signal Analyst Engineer,"Westminster, CO 80021","$104,000 - $129,500 a year"
Amazon.com Services LLC,Machine Learning Engineer II,"Boulder, CO+1 location","$120,700 a year"
"The Stratagem Group, Inc",AI/ML Engineer,"Aurora, CO 80011 (Norfolk Glen area)","$60,000 - $135,000 a year"
Salesforce,"Senior Manager, Machine Learning & AI - Mulesoft, a Salesfor...","Denver, CO","$121,800 a year"
ColdQuanta,Machine Learning Software Engineer,"Boulder, CO 80301","$114,745 - $150,854 a year"
DISH,Staff AI/ML Engineer,"Littleton, CO 80120","$120,000 a year"
Kairos Technologies,Sr. Data Analyst( 100% Remote ),"Boston, MA•Temporarily Remote","$57,900 - $129,205 a year"
MassHousing,Senior Business & Data Analyst,"Boston, MA 02108 (Downtown area)","$101,287 - $131,673 a year"
Glassdoor,Machine Learning Engineer,"Boston, MA","$129,300 - $161,600 a year"
SonderMind (all cities),"Software Engineer, Data Science","Boston, MA","$95,000 - $125,000 a year"
Mandiant,Staff Data Scientist - REMOTE USA,"Boston, MA•Remote","$140,000 a year"
Gradient AI,Senior Data Engineer,"Boston, MA 02210 (South Boston area)•Temporarily Remote","$110,000 - $160,000 a year"
IBM,newSR. Cloud Data Architect - COMMUNICATIONS,"Charlotte, NC 28201 (Myers Park area)","$103,100 - $240,500 a year"
Salesforce,"Senior Manager, Machine Learning & AI - Mulesoft, a Salesfor...","Indianapolis, IN 46204 (Downtown area)","$121,800 a year"
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Nashville, TN","$114,700 a year"
CEDENT,Principal Data Scientist,"Nashville, TN","$150,000 - $180,000 a year"
SonderMind (all cities),"Software Engineer, Data Science","Nashville, TN","$95,000 - $125,000 a year"
CruiTek,Business Intelligence Data Scientist,"Nashville, TN+1 location","$112,000 - $125,000 a year"
Harnham,Senior Data Scientist,"Nashville, TN","$130,000 - $150,000 a year"
